ref='/players/playerpage/2901324?o_pos=U'data-o_pos="U">Shohei Ohtani, 2901324?o_pos=U'data-o_pos="U">Shohei Ohtan, P|UT
Deiner Lopez, 2227063, 2B|UT
Gaige Howard, 29086582, OF|UT
Armani Smith, 26615362, OF|UT
Sammy Stafura, 29295910, SS|UT
Will Gaddis, 2836889, P
Miguel Ugueto, 29087631, OF|UT
Tommy Mace, 2837152, P
Jose Fermin, 2803767, 3B|UT
Xorge Carrillo, 2122176, C|UT
Austin Sodders, 2915538, P
D'Shawn Knowles, 3077722, OF|UT
Inohan Paniagua, 29077616, P
Yoyner Fajardo, 29085443, OF|UT
Cameron Booser, 28850997, P
Michael Flynn, 2932738, P
Clay Helvey, 29086581, P
Guillermo Pimentel, 1846233, OF|UT
Damon Keith, 29086583, OF|UT
Hudson Haskin, 26615369, OF|UT
Zeke White, 2211803, OF|UT
Joel Peguero, 2824943, P
Arol Vera, 3152087, 3B|UT
Chad McClanahan, 3095398, 3B|UT
Hunter Barco, 29075699, P
Yanio Perez, 2774890, OF|UT
Ian Lewis, 26912508, 2B|UT
Jacob Buchberger, 29092494, 3B|UT
Bryce Montes de Oca, 2837253, P
Hemmanuel Rosario, 29087627, C|UT
Trevor Werner, 29322047, 3B|UT
Andy Sugilio, 2915696, OF|UT
Kyler Castillo, 28843164, OF|UT
Gino Groover, 29295896, 3B|UT
Griffin Burkholder, 29644416, OF|UT
Juan Benjamin, 29355137, 2B|UT
Sean Godfrey, 2169883, OF|UT
Luis Cova, 29660107, OF|UT
Alerick Soularie, 26615363, OF|UT
Konnor Griffin, 29426038, SS|UT
Christian Molfetta, 29350510, C|UT
Robert Dominguez, 26912467, P
Darius Day, 2227180, OF|UT
Pat DeMarco, 2836801, OF|UT
Chris Ellis, 2167333, P
Kyle Datres, 2932678, 3B|UT
Tom Hackimer, 2915616, P
Zach Cone, 2046495, OF|UT
Jonathan Stiever, 2933124, P
Julian Smith, 2933109, P
Ryan Nicholson, 29683788, 1B|UT
Oliver Ortega, 2824791, P
Miguel Medrano, 26615447, P
Cole Freeman, 2836882, 2B|UT
Frank Duncan, 2592848, P
Endrys Briceno, 2117125, P
Robelys Reyes, 2171368, SS|UT
Peyton Olejnik, 29678115, P
Brooks Brannon, 29075488, C|UT
Nick Sogard, 3158347, 2B|UT
Beck Wheeler, 2121017, P
Bryan Pall, 2837320, P
Jack Mahoney, 29295972, P
Imanol Vargas, 29692383, OF|UT
Travis Smith, 29644497, P
Melvin Mercedes, 2227778, SS|UT
Carlos De La Cruz, 3157955, OF|UT
Efrain Contreras, 2930810, P
Roman Phansalkar, 29687809, P
Zac Kristofak, 26637847, P
Ernie Yake, 29084163, SS|UT
Michael Peoples, 2743627, P
Elliot Morris, 2169773, P
Robie Rojas, 2837428, C|UT
Corbin Williams, 3107896, OF|UT
Brandol Mezquita, 2932000, OF|UT
William Dion, 29295971, P
Matt Cooper, 2798058, P
Cesar Salazar, 2933071, C|UT
Juan Benitez, 2699268, P
Gregory Guerrero, 2507354, 2B|UT
Alex Scherff, 2837475, P
Ty Southisene, 29644450, SS|UT
Allan de San Miguel, 1486148, C|UT
Dylan Davis, 2507327, OF|UT
Carlos Francisco, 29096124, P
Tyler McKay, 2932930, P
Rowdey Jordan, 28842585, OF|UT
Rafael Cova, 593270, P
Branneli Franco, 29662210, P
Parker Dunshee, 2836831, P
Jake Higginbotham, 2932814, P
Corey Walter, 2226130, P
Jeremy Kehrt, 2118870, P
Cobb Hightower, 29644431, SS|UT
Barrett Kent, 29321960, P
Ivan Johnson, 26615355, OF|UT
Robinson Pina, 2829108, P
Josh Maciejewski, 2932894, P
Reid VanScoter, 29341711, P
Fraymi De Leon, 29686862, 2B|UT
Magnus Ellerts, 29675788, P
Franyerber Montilla, 29662415, SS|UT
Jimmy Kerrigan, 2864367, OF|UT
Jakson Reetz, 2167503, C|UT
Robert Hipwell, 29644432, 3B|UT
Fredy Michel, 26646088, SS|UT
Chad Christensen, 2171607, 1B|UT
Jordan Cowan, 2788553, 2B|UT
Yuhei Nakaushiro, 2702106, P
Frank Del Valle, 2121097, P
Kevin McGonigle, 29155734, SS|UT
Jackson Nezuh, 29644530, P
Dale Stanavich, 29672334, P
Nick Cimillo, 29686861, 1B|UT
Bubba Derby, 2919772, P
Hobbs Johnson, 2167499, P
Andy Lugo, 29678055, 3B|UT
Hunter Dobbins, 29295945, P
Pablo Aliendo, 2932261, C|UT
Connor Foley, 29644427, P
Cole Messina, 29644439, C|UT
Dylan Jasso, 29686863, 1B|UT
Andy Vasquez, 1812664, SS|UT
Antoine Duplantis, 2932708, OF|UT
Alex Burg, 2121066, C|UT
Anderson Feliz, 1961736, 3B|UT
Brandon Bednar, 2170063, 3B|UT
Brooks Wilson, 2837695, P
Carlos Guzman, 2823182, P
Juan Grullon, 2227638, P
Anthony Seigler, 2942983, C|UT
Dax Fulton, 26660164, P
Kole Cottam, 2932656, C|UT
Aaron Fossas, 3094398, P
Josh Harlow, 29683749, P
Ben Vespi, 29686869, P
Dexter Kjerstad, 2797625, OF|UT
Carter Johnson, 29644433, SS|UT
Justin Maffei, 2171693, OF|UT
Edgar Cabral, 2912220, C|UT
Eduardo Garcia, 28843016, SS|UT
Jeremy Vasquez, 2837631, 1B|UT
Hagen Danner, 2836779, P
Mason Robbins, 2794937, OF|UT
Jacob Zibin, 29075707, P
Mauricio Ramos, 2226046, 3B|UT
Taylor Hawkins, 2171613, C|UT
Joe Dunand, 2910611, 2B|UT
Jonah McReynolds, 2804221, SS|UT
Nick Ward, 29084162, 2B|UT
M.D. Johnson, 29077346, P
Jackson Strong, 29692382, OF|UT
Paul Wilson, 29295973, P
Brady Anderson, 2821231, P
Christopher Torres, 2756673, SS|UT
Juan Carela, 29077650, P
Chris Garia, 2171182, OF|UT
Sam Whiting, 29658268, P
Joey Stock, 29084161, P
Cedric De Grandpre, 29077594, P
Jackson Humphries, 29295956, P
Ariel Armas, 29678046, C|UT
Brennan Milone, 29632437, 1B|UT
P.J. Hilson, 29692381, OF|UT
Bryan Brickhouse, 3158173, P
Chad Oberacker, 2045877, OF|UT
Owen Holt, 29342276, P
Chris Anderson, 2066302, P
Brandt Stallings, 3104030, 1B|UT
Zach Pop, 2837356, P
Rashad Crawford, 2228213, OF|UT
Patrick Frick, 3158038, 2B|UT
Richard Gallardo, 29342259, P
Hunter Feduccia, 2932726, C|UT
Jordan Howard, 28842639, 2B|UT
Jake Means, 28843218, 3B|UT
Josh Martin, 2211469, P
Haden Erbe, 29342253, P
Yacksel Rios, 2122191, P
David Lyon, 2170028, C|UT
Chase Calabuig, 3157938, OF|UT
Joe Mack, 26719697, C|UT
Caleb Hobson, 29676018, OF|UT
Ricardo Valenzuela, 2228199, C|UT
Jhonny Piron, 26643929, OF|UT
Denzer Guzman, 26643937, SS|UT
Yorlis Rodriguez, 28841194, 3B|UT
Landon Stephens, 29085287, 1B|UT
Kellin Deglan, 1757992, C|UT
Blane Abeyta, 29087578, P
Carlos Franco, 2226843, 3B|UT
Osmy Gregorio, 2823110, 2B|UT
McKinley Moore, 26911805, P
Cam Clayton, 29692439, SS|UT
Sandro Gaston, 29085790, C|UT
Joshua Liranzo, 29662384, 3B|UT
Kellen Strahm, 28841699, OF|UT
Jared Karros, 29360033, P
Moises Perez, 2825050, SS|UT
Alexeis Azuaje, 29077585, 2B|UT
Conor Fisk, 2921502, P
Jimmy Burnette, 29079598, P
Seth Martinez, 3158165, P
Eric Filia, 2756825, OF|UT
Jaden Rudd, 29085757, OF|UT
Pedro Pineda, 26643923, OF|UT
Brock Vradenburg, 29295889, 1B|UT
Josh Pennington, 2449984, P
Samuel Infante, 26911681, 3B|UT
Zach Vennaro, 26636351, P
Kody Huff, 29360032, C|UT
Austin Mason, 2921413, P
Shalin Polanco, 26643921, OF|UT
Karch Kowalczyk, 2823729, P
Zack Erwin, 27023027, P
Winston Santos, 29322018, P
Ronny Garcia, 2829891, P
Quinton Low, 28847204, 1B|UT
Jeffrey Rosa, 2682572, P
Ryan Kellogg, 3094351, P
Daniel Robert, 2837406, P
Dillon Head, 29153557, OF|UT
Jacob Jenkins-Cowart, 29680496, 1B|UT
Erasmo Pinales, 2825114, P
Jeffrey Mercedes, 29686498, 3B|UT
Zach Penrod, 29342324, P
Benony Robles, 2932035, P
Nick Mikolajchak, 26636352, P
Tyson Guerrero, 29360031, P
Daniel Vazquez, 26643922, SS|UT
Arden Pabst, 2921085, C|UT
Rikelbin De Castro, 26913036, 2B|UT
Roby Enriquez, 28837789, OF|UT
Miguel Del Castillo, 1959742, C|UT
Robby Rowland, 2216702, P
Dusty Isaacs, 2228207, P
Kyle Amendt, 29674813, P
Anyelo Gomez, 2822992, P
Trevor Boone, 29342230, OF|UT
Kyle Luckham, 29342414, P
Tim Tawa, 28840788, OF|UT
Luke Waddell, 26911689, SS|UT
David Garner, 2822912, P
Felix Cepeda, 2930801, P
Anderson Bido, 2847297, P
Jacob Scavuzzo, 2114644, OF|UT
J.J. Gould, 2803771, SS|UT
Gabe Hemmer, 2222109, P
Case Williams, 26615418, P
Deivy Castillo, 2171704, OF|UT
Anthony Servideo, 26615328, 2B|UT
Ethan Anderson, 29644228, C|UT
Ryan Garcia, 2836904, P
Jose Bravo, 28838218, P
Jonah Dipoto, 28841534, P
Michael Suchy, 2171250, OF|UT
Kody Hoese, 3117925, 3B|UT
Trae Santos, 2225423, 1B|UT
Brad Roney, 3158598, P
Stevie Emanuels, 29342252, P
Pat Monteverde, 29106579, P
Brayan Mendoza, 29662211, P
Enmanuel De Jesus, 2822254, P
Andrew Hoffmann, 29077335, P
Brandon Lawson, 2915540, P
Norwith Gudino, 2823137, P
J.J. Niekro, 29342318, P
Randy De Jesus, 29077676, OF|UT
Nick Merkel, 29342428, P
Jaylen Palmer, 26615335, OF|UT
Luis Rodriguez, 29077659, P
Stephen Landazuri, 2166759, P
Kavares Tears, 29644451, OF|UT
Jose Devers, 28839878, SS|UT
Ivan Luciano, 29644235, C|UT
Brandon Waddell, 2453408, P
Adam Serwinowski, 29295970, P
Esteban Mejia, 29682349, 3B|UT
Kevin Hankerd, 1208714, OF|UT
Karson Simas, 29086760, SS|UT
Francis Pena, 29662212, P
Kohl Simas, 29077653, P
Angel Aguilar, 2821112, SS|UT
Edwin Fierro, 2822700, P
David Hurlbut, 2823475, P
Jantzen Witte, 2169892, 1B|UT
Aidan Smith, 29322024, OF|UT
Keaton Anthony, 29678277, 1B|UT
Andrew Lindsey, 29321974, P
Enmanuel Bonilla, 29321895, OF|UT
Jared Thomas, 29644452, OF|UT
Shane McCain, 2171841, P
Norberto Obeso, 3103837, OF|UT
Chen Zhuang, 29672114, P
Josh Crouch, 28840951, C|UT
Paul Campbell, 2836687, P
Jose Miguel Medina, 3077716, OF|UT
Ethan Pecko, 29644531, P
Jairo Lopez, 3152057, P
Elvin Rodriguez, 3157953, P
Jake Hirabayashi, 3158012, C|UT
Luis Rijo, 2825381, P
Cristian Alvarado, 2821192, P
Mikey White, 2211201, SS|UT
Carlos Lagrange, 29321962, P
Evan Fitterer, 26615424, P
DJ Neal, 2837283, OF|UT
Ryan Gold, 28840952, C|UT
Ashly Andujar, 29662454, SS|UT
Mason Albright, 26911789, P
Brandon Leibrandt, 2823832, P
RJ Schreck, 29644532, OF|UT
George Klassen, 29321961, P
Herick Hernandez, 29644430, P
Daniel Brown, 2915604, P
Eduardo Garcia, 26615314, 3B|UT
Jake Scheiner, 2837473, 2B|UT
Trevor Hauver, 2836971, OF|UT
Aaron Barbosa, 2121487, OF|UT
Ty Boyles, 3096739, P
Walter Ford, 29075786, P
Trevor Harrison, 29644527, P
Luis Tejada, 2044388, 1B|UT
Henry Lalane, 29321963, P
Jake Walkinshaw, 29683468, P
Axel Sanchez, 28843224, SS|UT
Nick Schnell, 2932048, OF|UT
Sean Mooney, 29075768, P
Trey Vavra, 2228427, 1B|UT
Spencer Herrmann, 2915884, P
Israel Pineda, 3077690, C|UT
Victor Planchart, 29089626, C|UT
Izack Tiger, 29644533, P
Jonathan Pintaro, 29660685, P
Justin Bruihl, 26729168, P
Austin Green, 2166713, C|UT
Noah Mendlinger, 28840953, 2B|UT
Cortland Lawson, 29689746, SS|UT
Luiyin Alastre, 29687794, 3B|UT
Ian Kahaloa, 2453265, P
Bryan Arias, 28838044, 2B|UT
Danny Gonzalez, 29692380, OF|UT
Brian Holiday, 29644476, P
Leandro Pineda, 28842739, OF|UT
William Ouellette, 2824820, P
Noah Skirrow, 29084160, P
Victor Ngoepe, 2824660, SS|UT
Keiner Delgado, 29077651, SS|UT
Edgar Barclay, 28838065, P
Ryan Waldschmidt, 29644453, OF|UT
Trace Tam Sing, 2171695, 2B|UT
Will Simpson, 29349536, 1B|UT
Taylor Ard, 2797623, 1B|UT
Taylor Sparks, 2169691, 3B|UT
Kenni Gomez, 29077652, OF|UT
Erick Salcedo, 2170522, SS|UT
Dylan Wilson, 29662213, P
Ryne Birk, 2791368, 2B|UT
Corey Joyce, 3157919, SS|UT
Dillon Paulson, 2932997, 1B|UT
Khayyan Norfork, 2120497, 2B|UT
Chavez Young, 3095673, OF|UT
Douglas Orellana, 29679030, P
Javier Vaz, 29086145, 2B|UT
Reinaldo Ilarraza, 2921628, 2B|UT
Trei Cruz, 2836769, SS|UT
Anthony Vizcaya, 3158106, P
Evan Justice, 29188043, P
John Rhodes, 26911717, OF|UT
Rob Griswold, 29677832, P
Agustin Marte, 2824106, SS|UT
Christopher Paciolla, 29075504, 3B|UT
Kyle Marinconz, 28843187, SS|UT
Jack Snyder, 28846866, P
Kent Hasler, 28842424, P
Matt McLaughlin, 2837208, SS|UT
Robert Calaz, 29321905, OF|UT
Jonathan Engelmann, 3158163, OF|UT
Luis Santos, 28846888, 2B|UT
Nicholas Vizcaino, 2693481, 1B|UT
Brett Roberts, 29360059, SS|UT
Brody Colvin, 1803784, P
Wes Kath, 26911680, 3B|UT
Cayne Ueckert, 28837047, P
Blas Castano, 29342239, P
Jorgan Cavanerio, 2821936, P
Trey Benton, 29342227, P
Grant Little, 2931986, OF|UT
Kacy Clemens, 2836721, 1B|UT
Wes Rogers, 2734422, OF|UT
Greg Williams, 2804926, P
Carlos Santiago, 2931046, SS|UT
Graham Spraker, 2837546, P
Kristian Trompiz, 2826317, 2B|UT
Christian Franklin, 28837125, OF|UT
Agustin Murillo, 1104290, 3B|UT
Ryan Boyer, 29342233, P
Yeison Morrobel, 26913045, OF|UT
Justin Donatella, 3095381, P
Elvis Peguero, 2824940, P
Eric Jenkins, 2211210, OF|UT
Chris Betts, 3077689, C|UT
Alexis Lara, 1793611, P
Jacob Dahlstrand, 2118860, P
Alex Speas, 2453426, P
Bryson Brigman, 2447623, SS|UT
Matthew Thompson, 3152116, P
Troy Schreffler, 29090116, OF|UT
Scott Boches, 2836618, P
Cameron Barstad, 2932271, C|UT
Franklin Arias, 29321884, SS|UT
Matt Frawley, 2921347, P
Jack Moss, 29680344, OF|UT
Argenis Jimenez, 28846854, OF|UT
Kolton Mahoney, 2921431, P
Rafael Cruz, 29086247, SS|UT
Yiddi Cappe, 26643920, 3B|UT
Ryan Stafford, 29687317, C|UT
Angel German, 2211786, P
Dillon Moyer, 2171044, SS|UT
Will Albertson, 2921415, C|UT
Chris Meyers, 29360052, 1B|UT
Dangelo Sarmiento, 29684917, 2B|UT
Juan Apodaca, 1670986, C|UT
Daniel Tillman, 1937338, P
Sonny DiChiara, 29342250, 1B|UT
Ben McLaughlin, 29692452, 3B|UT
Chen-Wei Lin, 29476195, P
Dauris Valdez, 2826366, P
Nick Lovullo, 2823962, 2B|UT
Justin Boyd, 29075721, OF|UT
Brandon Koch, 2211746, P
Ronnie Jebavy, 2226920, OF|UT
David Parkinson, 2837323, P
Ryan Haug, 3101956, C|UT
Nicolas Cruz, 29679113, P
Omar Bencomo, 2821516, P
Justin Campbell, 29075722, P
Alex Cornwell, 2836744, P
Dylan Spacke, 29342347, P
Jake Sanford, 26911726, OF|UT
Allan Hernandez, 29679119, P
Carl Wise, 2734158, 3B|UT
Alfredo Zarraga, 29090150, P
Declan Cronin, 29078827, P
Cam Robinson, 2837414, P
Jordan Tarsovich, 2226605, 2B|UT
Jayce Easley, 2932712, 2B|UT
Jayce Boyd, 2118911, 1B|UT
Phillip Sikes, 28841147, OF|UT
Erick Hernandez, 29077609, OF|UT
Francisco Diaz, 2218319, C|UT
Dominic Ficociello, 2118873, 3B|UT
Randy Labaut, 28838302, P
Mariel Bautista, 2821469, OF|UT
Shawn Goosenberg, 29090131, SS|UT
Jose Quezada, 2933034, P
Chris Jensen, 2915545, P
Miguel Perez, 2846113, OF|UT
Geoff Broussard, 2119601, P
Nomar Fana, 29688603, OF|UT
Trae Arbet, 2921401, SS|UT
Lazaro Benitez, 28846843, OF|UT
Tim Shibuya, 2788550, P
Ricky Eusebio, 2794804, OF|UT
Juan Chacon, 28846849, OF|UT
Maxton Martin, 29688609, OF|UT
Kevin Sim, 29325922, 1B|UT
Gilbert Lara, 2167500, SS|UT
Nehomar Ochoa, 29321998, OF|UT
Tim Herrin, 28838301, P
Jeremy Rivas, 26913010, SS|UT
Sean Brady, 2118755, P
Colin Bray, 2119299, OF|UT
Mitchell Kranson, 3093601, C|UT
Jakey Josepha, 29090132, SS|UT
Will Frizzell, 29075793, 1B|UT
Sam Stuhr, 29644500, P
Derrick Loveless, 2228479, OF|UT
Robert Ahlstrom, 29342216, P
Zac Cook, 28842149, 2B|UT
Bobby Honeyman, 3094733, SS|UT
Andrew Misiaszek, 28838303, P
Trevor Clifton, 2453260, P
Matt Walker, 29088497, P
A.J. Lee, 28838278, SS|UT
Johmbeyker Morales, 2804026, SS|UT
Manuel Garcia, 2931946, C|UT
Jason Creasy, 2733998, P
Juneiker Caceres, 29688601, OF|UT
Ben Johnson, 2801264, OF|UT
William Corcoran, 29675829, P
Junior Sanquintin, 29090133, SS|UT
Jefri Hernandez, 2223646, P
Juan Zapata, 28838309, P
Seth Conner, 2227215, C|UT
Micah McDowell, 29683492, OF|UT
Nick Ernst, 2932719, P
Jacob Wetzel, 28837108, OF|UT
Hudson Head, 3165362, OF|UT
Francisco Acuna, 2828951, SS|UT
Austin Orewiler, 2794798, P
Juan Then, 2829153, P
Chris Harvey, 2731204, 1B|UT
Tyler Filliben, 2171610, SS|UT
Matthew Wood, 29075737, C|UT
Canyon Brown, 29679112, C|UT
Jesus Hernandez, 29342846, SS|UT
Seaver Whalen, 2837674, 3B|UT
Ryan Bourassa, 29677816, P
Darren Baker, 2836563, 2B|UT
Brandon Howlett, 3077695, 3B|UT
Rodolfo Nolasco, 29348840, OF|UT
Nick Tanielu, 2228201, 3B|UT
Jayden Jobert, 29680224, OF|UT
Ryan Clark, 3094413, P
Mark McLaughlin, 29687778, P
Jaime Pedroza, 1740987, 2B|UT
Juan Flores, 29321928, C|UT
Kannon Kemp, 29658257, P
Marcelo Perez, 29295987, P
Angel Sanchez, 1959497, P
Raul Brito, 29679111, P
Cody Freeman, 3158170, SS|UT
James Buckelew, 2228472, P
Johnathon Thomas, 29360065, OF|UT
Dario Pizzano, 2119292, OF|UT
Karson Milbrandt, 29075723, P
James Parker, 28840643, SS|UT
J.T. Watkins, 2227065, C|UT
Chris Roycroft, 29350513, P
Tyler Ogle, 2171113, C|UT
Emilien Pitre, 29644444, 2B|UT
Ray Chang, 1740918, 2B|UT
Will Watson, 29084229, P
Glenn Santiago, 29091622, SS|UT
Andrew Bash, 29096095, P
Chris Cortez, 29644465, P
Fernando Kelli, 2823664, OF|UT
Mike Peabody, 28842609, OF|UT
Pedro Vasquez, 3152902, P
Nolan Blackwood, 2803674, P
Ben Hartl, 29689762, C|UT
Trayson Kubo, 29084706, P
Brandon Van Horn, 3107684, SS|UT
Logan Gragg, 29091621, P
Tre Carter, 3107127, OF|UT
Jose Cardona, 2171299, OF|UT
Tommy Specht, 29692186, OF|UT
Cole Bartlett, 2836575, P
Pres Cavenaugh, 29086580, OF|UT
Danny Edgeworth, 2836837, 3B|UT
Alex Swim, 2171824, C|UT
Yeison Coca, 2822038, SS|UT
David Berg, 2731620, P
Yoanner Negrin, 2119084, P
Michael Brewer, 29085279, P
Cody Schrier, 29683715, SS|UT
Adam Stone, 29087630, P
Jensen Elliott, 29085025, P
Marcus Mooney, 2921038, SS|UT
Mitch Jebb, 29295911, 2B|UT
Kurt Heyer, 2119280, P
Angel Lopez Alvarez, 2837142, C|UT
Darren McCaughan, 2837195, P
Chris Hoo, 2227746, C|UT
Alec Keller, 2227138, OF|UT
Jordan George, 2920317, 1B|UT
Jackson Cluff, 26615360, SS|UT
Enrique Jimenez, 29321955, C|UT
Ryan Lillie, 2837131, P
Joshua Rivera, 29295912, SS|UT
T.J. Schofield-Sam, 29689774, 3B|UT
Jose Sanchez, 3097782, SS|UT
Jose Almonte, 2121515, OF|UT
Tanner Tully, 3095080, P
Clayton Cook, 2740419, P
Jacob Schrader, 2226384, 1B|UT
Jesus Lara, 29089455, SS|UT
Amado Nunez, 2507362, 2B|UT
Aaron Hernandez, 2932806, P
Dyron Campos, 29089617, OF|UT
Yovanny Cruz, 2828998, P
Chris Newell, 29295919, OF|UT
Shane Murphy, 29678314, P
Cody Farhat, 3158509, OF|UT
Walker Martin, 29295913, SS|UT
Yefri Del Rosario, 2829006, P
Juan Hillman, 2211242, P
Maikol Escotto, 26913006, 3B|UT
Dominic Miroglio, 2837243, C|UT
Scott Williams, 2216804, P
Jordan Brink, 27022494, P
Zach Nuding, 2040768, P
Diego Cedeno, 2171292, OF|UT
Dan Gamache, 2119767, 3B|UT
Max Ferguson, 26911677, OF|UT
Brandon Barriera, 28920026, P
Jeremias Portorreal, 2825175, OF|UT
Jose Alexander Martinez, 3107294, SS|UT
Alay Lago, 2915580, 3B|UT
Jonathan Mejia, 29077644, 2B|UT
El'Hajj Muhammad, 2170150, P
Sharlon Schoop, 2170680, SS|UT
Martin Gonzalez, 29077665, 3B|UT
Peter Zimmerman, 28838051, 1B|UT
Michael Turconi, 29091623, SS|UT
Cody Winiarski, 2114419, P
Kade Bragg, 29677724, P
Zachary Zubia, 28843170, 1B|UT
Cy Nielson, 29350512, P
Logan Wyatt, 3151904, 1B|UT
Mike Fish, 2121315, OF|UT
Victor Nova, 28840642, OF|UT
Tom Belza, 2050172, 2B|UT
Nick Kennedy, 2837072, P
Chad Donato, 3094748, P
Omar Carrizales, 2171253, OF|UT
Tristen Lutz, 2837149, OF|UT
Emilio Gustave, 2823159, OF|UT
Juan Gomes, 2171881, C|UT
Ronald Hernandez, 29321946, C|UT
Jorgelys Mota, 29350511, 3B|UT
Tommy McCollum, 29088724, P
Alexander Benua, 29689769, OF|UT
Dayan Frias, 28840641, 3B|UT
Jamie Westbrook, 2225420, 2B|UT
Timothy Naughton, 2837282, P
Jagger Haynes, 26615434, P
Arturo Nieto, 2921621, C|UT
Tyler Carr, 26635141, P
Gavin Cross, 28920012, OF|UT
Drew Parrish, 26911787, P
Billy Lescher, 2837126, P
Ulrich Bojarski, 3157913, OF|UT
Trey Ball, 2066294, P
Logan Moore, 2215964, C|UT
Nick Gallagher, 2836892, P
Jakob Christian, 29644420, OF|UT
Vicente Conde, 2226570, SS|UT
Carson Rucker, 29322015, SS|UT
Frank Batista, 1957208, P
Philip Clarke, 26635142, C|UT
Zach Shank, 2227208, 3B|UT
Ian Mejia, 29091447, P
Taylor Grover, 2740128, P
Zack Hess, 3157952, P
Robert Broom, 3158013, P
Jack Carey, 29088486, P
Carson McCusker, 2837201, OF|UT
