IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
garcide01,Deivi Garcia,Deivi,Garcia,20276,Deivi Garcia,665620,Deivi Garcia,2822849,Deivi Garcia,garcide01,41218,Deivi Garcia,107828,Deivi Garcia,"Garcia, Deivi",Deivi Garcia
betande01,Dellin Betances,Dellin,Betances,6216,Dellin Betances,476454,Dellin Betances,1623765,Dellin Betances,betande01,31122,Dellin Betances,49775,Dellin Betances,"Betances, Dellin",Dellin Betances
perezde01,Delvin Perez,Delvin,Perez,sa917935,Delvin Perez,666206,Delvin Perez,2250608,Delvin Perez,perezde01,40505,Delvin Perez,108380,Delvin Perez,"Perez, Delvin",Delvin Perez
evansde01,Demarcus Evans,Demarcus,Evans,21087,Demarcus Evans,663770,Demarcus Evans,3103747,Demarcus Evans,evansde01,41742,Demarcus Evans,105930,Demarcus Evans,"Evans, Demarcus",Demarcus Evans
santade01,Dennis Santana,Dennis,Santana,17878,Dennis Santana,642701,Dennis Santana,2898231,Dennis Santana,santade01,39801,Dennis Santana,103196,Dennis Santana,"Santana, Dennis",Dennis Santana
rodride01,Dereck Rodriguez,Dereck,Rodriguez,14509,Dereck Rodriguez,605446,Dereck Rodriguez,2825484,Dereck Rodriguez,rodride01,40913,Dereck Rodriguez,70482,Dereck Rodriguez,"Rodriguez, Dereck",Dereck Rodriguez
fishede01,Derek Fisher,Derek,Fisher,16192,Derek Fisher,605233,Derek Fisher,2136393,Derek Fisher,fishede01,33794,Derek Fisher,70804,Derek Fisher,"Fisher, Derek",Derek Fisher
hillde01,Derek Hill,Derek,Hill,16947,Derek Hill,656537,Derek Hill,2135254,Derek Hill,hillde01,,Derek Hill,105420,Derek Hill,"Hill, Derek",Derek Hill
lawde01,Derek Law,Derek,Law,13133,Derek Law,571882,Derek Law,2114069,Derek Law,lawde01,33139,Derek Law,70359,Derek Law,"Law, Derek",Derek Law
garcide02,Dermis Garcia,Dermis,Garcia,20926,Dermis Garcia,660650,Dermis Garcia,2910609,Dermis Garcia,garcide02,,Dermis Garcia,106015,Dermis Garcia,"Garcia, Dermis",Dermis Garcia
marrede01,Deven Marrero,Deven,Marrero,13325,Deven Marrero,571918,Deven Marrero,2041863,Deven Marrero,marrede01,32660,Deven Marrero,70360,Deven Marrero,"Marrero, Deven",Deven Marrero
smeltde01,Devin Smeltzer,Devin,Smeltzer,19487,Devin Smeltzer,656970,Devin Smeltzer,3116182,Devin Smeltzer,smeltde01,41120,Devin Smeltzer,109073,Devin Smeltzer,"Smeltzer, Devin",Devin Smeltzer
willide03,Devin Williams,Devin,Williams,15816,Devin Williams,642207,Devin Williams,2066820,Devin Williams,willide03,,,102785,Devin Williams,"Williams, Devin",Devin Williams
gregodi01,Didi Gregorius,Didi,Gregorius,6012,Didi Gregorius,544369,Didi Gregorius,1810724,Didi Gregorius,gregodi01,31376,Didi Gregorius,58809,Didi Gregorius,"Gregorius, Didi",Didi Gregorius
cartadi01,Diego Cartaya,Diego,Cartaya,sa3008742,Diego Cartaya,682616,Diego Cartaya,3152038,Diego Cartaya,cartadi01,,Diego Cartaya,115584,Diego Cartaya,"Cartaya, Diego",Diego Cartaya
castidi02,Diego Castillo,Diego,Castillo,19906,Diego Castillo,660636,Diego Castillo,2507361,Diego Castillo,castidi02,,Diego Castillo,105690,Diego Castillo,"Castillo, Diego",Diego Castillo
castidi01,Diego Castillo,Diego,Castillo,17496,Diego Castillo,650895,Diego Castillo,2804217,Diego Castillo,castidi01,39103,Diego Castillo,104483,Diego Castillo,"Castillo, Diego",Diego Castillo
peterdi01,Dillon Peters,Dillon,Peters,18790,Dillon Peters,596071,Dillon Peters,2699269,Dillon Peters,peterdi01,36169,Dillon Peters,70921,Dillon Peters,"Peters, Dillon",Dillon Peters
tatedi01,Dillon Tate,Dillon,Tate,17796,Dillon Tate,622253,Dillon Tate,2184350,Dillon Tate,tatedi01,34950,Dillon Tate,106989,Dillon Tate,"Tate, Dillon",Dillon Tate
lametdi01,Dinelson Lamet,Dinelson,Lamet,17186,Dinelson Lamet,659275,Dinelson Lamet,2507517,Dinelson Lamet,lametdi01,36157,Dinelson Lamet,105417,Dinelson Lamet,"Lamet, Dinelson",Dinelson Lamet
machadi01,Dixon Machado,Dixon,Machado,11472,Dixon Machado,553988,Dixon Machado,1804067,Dixon Machado,machadi01,31188,Dixon Machado,66105,Dixon Machado,"Machado, Dixon",Dixon Machado
lemahdj01,DJ LeMahieu,DJ,LeMahieu,9874,DJ LeMahieu,518934,DJ LeMahieu,1740958,DJ LeMahieu,lemahdj01,30765,DJ LeMahieu,59339,DJ LeMahieu,"LeMahieu, DJ",DJ LeMahieu
peterdj01,DJ Peters,DJ,Peters,19348,DJ Peters,656847,DJ Peters,2507365,DJ Peters,peterdj01,,DJ Peters,108396,DJ Peters,"Peters, DJ",DJ Peters
stewadj01,DJ Stewart,DJ,Stewart,17766,DJ Stewart,621466,DJ Stewart,2184469,DJ Stewart,stewadj01,34942,DJ Stewart,105440,DJ Stewart,"Stewart, DJ",DJ Stewart
halldl01,DL Hall,DL,Hall,22207,DL Hall,669084,DL Hall,2835075,DL Hall,halldl01,,DL Hall,111203,DL Hall,"Hall, DL",DL Hall
nunezdo01,Dom Nunez,Dom,Nunez,15055,Dom Nunez,624513,Dom Nunez,2165915,Dom Nunez,nunezdo01,33826,Dom Nunez,101631,Dom Nunez,"Nunez, Dom",Dom Nunez
acevedo01,Domingo Acevedo,Domingo,Acevedo,17092,Domingo Acevedo,642758,Domingo Acevedo,2211789,Domingo Acevedo,acevedo01,35010,Domingo Acevedo,103250,Domingo Acevedo,"Acevedo, Domingo",Domingo Acevedo
germado01,Domingo German,Domingo,German,17149,Domingo German,593334,Domingo German,2167483,Domingo German,germado01,33660,Domingo German,67182,Domingo German,"German, Domingo",Domingo German
santado01,Domingo Santana,Domingo,Santana,10348,Domingo Santana,570267,Domingo Santana,1958810,Domingo Santana,santado01,31931,Domingo Santana,60423,Domingo Santana,"Santana, Domingo",Domingo Santana
leonedo01,Dominic Leone,Dominic,Leone,13763,Dominic Leone,608678,Dominic Leone,2117118,Dominic Leone,leonedo01,33155,Dominic Leone,100305,Dominic Leone,"Leone, Dominic",Dominic Leone
smithdo02,Dominic Smith,Dominic,Smith,15653,Dominic Smith,642086,Dominic Smith,2066296,Dominic Smith,smithdo02,33218,Dominic Smith,102745,Dominic Smith,"Smith, Dominic",Dominic Smith
solando01,Donovan Solano,Donovan,Solano,8623,Donovan Solano,456781,Donovan Solano,1666544,Donovan Solano,solando01,29703,Donovan Solano,48772,Donovan Solano,"Solano, Donovan",Donovan Solano
ellisdr01,Drew Ellis,Drew,Ellis,19873,Drew Ellis,656403,Drew Ellis,2836840,Drew Ellis,ellisdr01,,Drew Ellis,109773,Drew Ellis,"Ellis, Drew",Drew Ellis
hutchdr01,Drew Hutchison,Drew,Hutchison,10732,Drew Hutchison,571800,Drew Hutchison,1812898,Drew Hutchison,hutchdr01,31462,Drew Hutchison,66556,Drew Hutchison,"Hutchison, Drew",Drew Hutchison
pomerdr01,Drew Pomeranz,Drew,Pomeranz,11426,Drew Pomeranz,519141,Drew Pomeranz,1765810,Drew Pomeranz,pomerdr01,31010,Drew Pomeranz,68404,Drew Pomeranz,"Pomeranz, Drew",Drew Pomeranz
rasmudr01,Drew Rasmussen,Drew,Rasmussen,25385,Drew Rasmussen,656876,Drew Rasmussen,2837374,Drew Rasmussen,rasmudr01,,,133756,Drew Rasmussen,"Rasmussen, Drew",Drew Rasmussen
rucindr01,Drew Rucinski,Drew,Rucinski,12499,Drew Rucinski,607968,Drew Rucinski,2136146,Drew Rucinski,rucindr01,,Drew Rucinski,70168,Drew Rucinski,"Rucinski, Drew",Drew Rucinski
smylydr01,Drew Smyly,Drew,Smyly,11760,Drew Smyly,592767,Drew Smyly,1840445,Drew Smyly,smylydr01,31816,Drew Smyly,68688,Drew Smyly,"Smyly, Drew",Drew Smyly
steckdr01,Drew Steckenrider,Drew,Steckenrider,18806,Drew Steckenrider,608716,Drew Steckenrider,2228473,Drew Steckenrider,steckdr01,35867,Drew Steckenrider,100322,Drew Steckenrider,"Steckenrider, Drew",Drew Steckenrider
verhadr01,Drew VerHagen,Drew,VerHagen,13424,Drew VerHagen,572403,Drew VerHagen,2113508,Drew VerHagen,verhadr01,33121,Drew VerHagen,100188,Drew VerHagen,"VerHagen, Drew",Drew VerHagen
warddr01,Drew Ward,Drew,Ward,sa737690,Drew Ward,608380,Drew Ward,2167339,Drew Ward,warddr01,33744,Drew Ward,100266,Drew Ward,"Ward, Drew",Drew Ward
waterdr01,Drew Waters,Drew,Waters,20505,Drew Waters,671221,Drew Waters,2837661,Drew Waters,waterdr01,41076,Drew Waters,111044,Drew Waters,"Waters, Drew",Drew Waters
jamesdr01,Drey Jameson,Drey,Jameson,26260,Drey Jameson,686753,Drey Jameson,3117934,Drey Jameson,jamesdr01,,Drey Jameson,144213,Drey Jameson,"Jameson, Drey",Drey Jameson
underdu01,Duane Underwood Jr.,Duane,Underwood Jr.,14677,Duane Underwood Jr.,621249,Duane Underwood Jr.,2044487,Duane Underwood,underdu01,,Duane Underwood Jr.,100576,Duane Underwood Jr.,"Underwood Jr., Duane",Duane Underwood Jr.
garnedu01,Dustin Garneau,Dustin,Garneau,9433,Dustin Garneau,572863,Dustin Garneau,2117267,Dustin Garneau,garnedu01,33257,Dustin Garneau,60238,Dustin Garneau,"Garneau, Dustin",Dustin Garneau
harridu01,Dustin Harris,Dustin,Harris,sa3010279,Dustin Harris,687957,Dustin Harris,26757037,Dustin Harris,harridu01,,Dustin Harris,144832,Dustin Harris,"Harris, Dustin",Dustin Harris
maydu01,Dustin May,Dustin,May,19716,Dustin May,669160,Dustin May,2507335,Dustin May,maydu01,40937,Dustin May,108971,Dustin May,"May, Dustin",Dustin May
bundydy01,Dylan Bundy,Dylan,Bundy,12917,Dylan Bundy,605164,Dylan Bundy,1894623,Dylan Bundy,bundydy01,32094,Dylan Bundy,70753,Dylan Bundy,"Bundy, Dylan",Dylan Bundy
carlsdy01,Dylan Carlson,Dylan,Carlson,20126,Dylan Carlson,666185,Dylan Carlson,2250618,Dylan Carlson,carlsdy01,39226,Dylan Carlson,107582,Dylan Carlson,"Carlson, Dylan",Dylan Carlson
ceasedy01,Dylan Cease,Dylan,Cease,18525,Dylan Cease,656302,Dylan Cease,2211754,Dylan Cease,ceasedy01,34943,Dylan Cease,105703,Dylan Cease,"Cease, Dylan",Dylan Cease
colemdy01,Dylan Coleman,Dylan,Coleman,22276,Dylan Coleman,669395,Dylan Coleman,2932645,Dylan Coleman,colemdy01,,Dylan Coleman,116555,Dylan Coleman,"Coleman, Dylan",Dylan Coleman
florody01,Dylan Floro,Dylan,Floro,13394,Dylan Floro,571670,Dylan Floro,2167510,Dylan Floro,florody01,33852,Dylan Floro,99857,Dylan Floro,"Floro, Dylan",Dylan Floro
mooredy01,Dylan Moore,Dylan,Moore,18042,Dylan Moore,664238,Dylan Moore,2226911,Dylan Moore,mooredy01,40593,Dylan Moore,106503,Dylan Moore,"Moore, Dylan",Dylan Moore
rosared01,Eddie Rosario,Eddie,Rosario,12155,Eddie Rosario,592696,Eddie Rosario,1910546,Eddie Rosario,rosared01,31944,Eddie Rosario,67098,Eddie Rosario,"Rosario, Eddie",Eddie Rosario
alvared01,Eddy Alvarez,Eddy,Alvarez,16959,Eddy Alvarez,657193,Eddy Alvarez,2734420,Eddy Alvarez,alvared01,,Eddy Alvarez,,Eddy Alvarez,"Alvarez, Eddy",Eddy Alvarez
sosaed01,Edmundo Sosa,Edmundo,Sosa,17022,Edmundo Sosa,624641,Edmundo Sosa,2167505,Edmundo Sosa,sosaed01,33809,Edmundo Sosa,102202,Edmundo Sosa,"Sosa, Edmundo",Edmundo Sosa
julieed01,Edouard Julien,Edouard,Julien,sa3014445,Edouard Julien,666397,Edouard Julien,2837057,Edouard Julien,julieed01,,Edouard Julien,125175,Edouard Julien,"Julien, Edouard",Edouard Julien
escobed01,Eduardo Escobar,Eduardo,Escobar,6153,Eduardo Escobar,500871,Eduardo Escobar,1670491,Eduardo Escobar,escobed01,30272,Eduardo Escobar,51653,Eduardo Escobar,"Escobar, Eduardo",Eduardo Escobar
rodried05,Eduardo Rodriguez,Eduardo,Rodriguez,13164,Eduardo Rodriguez,593958,Eduardo Rodriguez,2042426,Eduardo Rodriguez,rodried05,32675,Eduardo Rodriguez,67588,Eduardo Rodriguez,"Rodriguez, Eduardo",Eduardo Rodriguez
cabreed02,Edward Cabrera,Edward,Cabrera,21690,Edward Cabrera,665795,Edward Cabrera,2821757,Edward Cabrera,cabreed02,40944,Edward Cabrera,107559,Edward Cabrera,"Cabrera, Edward",Edward Cabrera
olivaed02,Edward Olivares,Edward,Olivares,19698,Edward Olivares,658668,Edward Olivares,2734289,Edward Olivares,olivaed02,,,105339,Edward Olivares,"Olivares, Edward",Edward Olivares
diazed04,Edwin Diaz,Edwin,Diaz,14710,Edwin Diaz,621242,Edwin Diaz,2117203,Edwin Diaz,diazed04,35394,Edwin Diaz,100572,Edwin Diaz,"Diaz, Edwin",Edwin Diaz
riosed01,Edwin Rios,Edwin,Rios,18316,Edwin Rios,621458,Edwin Rios,2447492,Edwin Rios,riosed01,36645,Edwin Rios,106745,Edwin Rios,"Rios, Edwin",Edwin Rios
rosareg01,Eguy Rosario,Eguy,Rosario,19964,Eguy Rosario,666703,Eguy Rosario,2743630,Eguy Rosario,rosareg01,,Eguy Rosario,108518,Eguy Rosario,"Rosario, Eguy",Eguy Rosario
adriaeh01,Ehire Adrianza,Ehire,Adrianza,8418,Ehire Adrianza,501303,Ehire Adrianza,1666190,Ehire Adrianza,adriaeh01,30471,Ehire Adrianza,50677,Ehire Adrianza,"Adrianza, Ehire",Ehire Adrianza
monteel01,Elehuris Montero,Elehuris,Montero,20543,Elehuris Montero,660707,Elehuris Montero,2824484,Elehuris Montero,monteel01,,Elehuris Montero,106498,Elehuris Montero,"Montero, Elehuris",Elehuris Montero
morgael01,Eli Morgan,Eli,Morgan,20203,Eli Morgan,669212,Eli Morgan,3077700,Elijah Morgan,morgael01,,Eli Morgan,110406,Eli Morgan,"Morgan, Eli",Eli Morgan
whiteel04,Eli White,Eli,White,19346,Eli White,642201,Eli White,2915816,Eli White,whiteel04,,Eli White,108764,Eli White,"White, Eli",Eli White
diazel01,Elias Diaz,Elias,Diaz,11680,Elias Diaz,553869,Elias Diaz,2122215,Elias Diaz,diazel01,33594,Elias Diaz,66057,Elias Diaz,"Diaz, Elias",Elias Diaz
hernael01,Elieser Hernandez,Elieser,Hernandez,16933,Elieser Hernandez,622694,Elieser Hernandez,2823323,Elieser Hernandez,hernael01,39836,Elieser Hernandez,101105,Elieser Hernandez,"Hernandez, Elieser",Elieser Hernandez
delacel01,Elly De La Cruz,Elly,De La Cruz,sa3009289,Elly De La Cruz,682829,Elly De La Cruz,26912505,Elly De La Cruz,delacel01,,Elly De La Cruz,117798,Elly De La Cruz,"De La Cruz, Elly",Elly De La Cruz
jimenel02,Eloy Jimenez,Eloy,Jimenez,17484,Eloy Jimenez,650391,Eloy Jimenez,2167765,Eloy Jimenez,jimenel02,33867,Eloy Jimenez,104176,Eloy Jimenez,"Jimenez, Eloy",Eloy Jimenez
andruel01,Elvis Andrus,Elvis,Andrus,8709,Elvis Andrus,462101,Elvis Andrus,1099374,Elvis Andrus,andruel01,29515,Elvis Andrus,46980,Elvis Andrus,"Andrus, Elvis",Elvis Andrus
hancoem01,Emerson Hancock,Emerson,Hancock,sa3014456,Emerson Hancock,676106,Emerson Hancock,2836958,Emerson Hancock,hancoem01,,Emerson Hancock,122708,Emerson Hancock,"Hancock, Emerson",Emerson Hancock
paganem01,Emilio Pagan,Emilio,Pagan,14771,Emilio Pagan,641941,Emilio Pagan,2120160,Emilio Pagan,paganem01,33403,Emilio Pagan,102705,Emilio Pagan,"Pagan, Emilio",Emilio Pagan
claseem01,Emmanuel Clase,Emmanuel,Clase,21032,Emmanuel Clase,661403,Emmanuel Clase,3107591,Emmanuel Clase,claseem01,41743,Emmanuel Clase,105737,Emmanuel Clase,"Clase, Emmanuel",Emmanuel Clase
riverem01,Emmanuel Rivera,Emmanuel,Rivera,19890,Emmanuel Rivera,656896,Emmanuel Rivera,2920200,Emmanuel Rivera,riverem01,,Emmanuel Rivera,106750,Emmanuel Rivera,"Rivera, Emmanuel",Emmanuel Rivera
inciaen01,Ender Inciarte,Ender,Inciarte,4922,Ender Inciarte,542255,Ender Inciarte,1808403,Ender Inciarte,inciaen01,31327,Ender Inciarte,59112,Ender Inciarte,"Inciarte, Ender",Ender Inciarte
rodrien01,Endy Rodriguez,Endy,Rodriguez,sa3008272,Endy Rodriguez,682848,Endy Rodriguez,26615321,Endy Rodriguez,rodrien01,,Endy Rodriguez,134717,Endy Rodriguez,"Rodriguez, Endy",Endy Rodriguez
valdeen01,Enmanuel Valdez,Enmanuel,Valdez,sa917288,Enmanuel Valdez,665839,Enmanuel Valdez,2826369,Enmanuel Valdez,valdeen01,,Enmanuel Valdez,108701,Enmanuel Valdez,"Valdez, Enmanuel",Enmanuel Valdez
pareden01,Enoli Paredes,Enoli,Paredes,20447,Enoli Paredes,660600,Enoli Paredes,3094415,Enoli Paredes,pareden01,,,108349,Enoli Paredes,"Paredes, Enoli",Enoli Paredes
hernaen02,Enrique Hernandez,Enrique,Hernandez,10472,Enrique Hernandez,571771,Enrique Hernandez,1810385,Enrique Hernandez,hernaen02,31358,Enrique Hernandez,59660,Kike Hernandez,"Hernandez, Enrique",Enrique Hernandez
delosen01,Enyel De Los Santos,Enyel,De Los Santos,18403,Enyel De Los Santos,660853,Enyel De Los Santos,2211795,Enyel De Los Santos,delosen01,35026,Enyel De Los Santos,105831,Enyel De Los Santos,"De Los Santos, Enyel",Enyel De Los Santos
ramirer02,Erasmo Ramirez,Erasmo,Ramirez,10314,Erasmo Ramirez,541640,Erasmo Ramirez,1939521,Erasmo Ramirez,ramirer02,31983,Erasmo Ramirez,59012,Erasmo Ramirez,"Ramirez, Erasmo",Erasmo Ramirez
haaseer01,Eric Haase,Eric,Haase,14111,Eric Haase,606992,Eric Haase,2120601,Eric Haase,haaseer01,33452,Eric Haase,70516,Eric Haase,"Haase, Eric",Eric Haase
hosmeer01,Eric Hosmer,Eric,Hosmer,3516,Eric Hosmer,543333,Eric Hosmer,1669561,Eric Hosmer,hosmeer01,30993,Eric Hosmer,57988,Eric Hosmer,"Hosmer, Eric",Eric Hosmer
lauerer01,Eric Lauer,Eric,Lauer,19316,Eric Lauer,641778,Eric Lauer,2250610,Eric Lauer,lauerer01,39915,Eric Lauer,108957,Eric Lauer,"Lauer, Eric",Eric Lauer
feddeer01,Erick Fedde,Erick,Fedde,17425,Erick Fedde,607200,Erick Fedde,2167502,Erick Fedde,feddeer01,33793,Erick Fedde,70964,Erick Fedde,"Fedde, Erick",Erick Fedde
gonzaer01,Erik Gonzalez,Erik,Gonzalez,13369,Erik Gonzalez,570481,Erik Gonzalez,2052583,Erik Gonzalez,gonzaer01,33018,Erik Gonzalez,66263,Erik Gonzalez,"Gonzalez, Erik",Erik Gonzalez
swanser01,Erik Swanson,Erik,Swanson,16587,Erik Swanson,657024,Erik Swanson,2927324,Erik Swanson,swanser01,36013,Erik Swanson,104921,Erik Swanson,"Swanson, Erik",Erik Swanson
clemeer01,Ernie Clement,Ernie,Clement,20352,Ernie Clement,676391,Ernie Clement,2836722,Ernie Clement,clemeer01,,Ernie Clement,109602,Ernie Clement,"Clement, Ernie",Ernie Clement
ruizes01,Esteury Ruiz,Esteury,Ruiz,21780,Esteury Ruiz,665923,Esteury Ruiz,2825651,Esteury Ruiz,ruizes01,,Esteury Ruiz,108525,Esteury Ruiz,"Ruiz, Esteury",Esteury Ruiz
flories01,Estevan Florial,Estevan,Florial,19151,Estevan Florial,664314,Estevan Florial,2507504,Estevan Florial,flories01,,Estevan Florial,105984,Estevan Florial,"Florial, Estevan",Estevan Florial
smallet01,Ethan Small,Ethan,Small,26364,Ethan Small,663629,Ethan Small,3117928,Ethan Small,smallet01,,Ethan Small,137078,Ethan Small,"Small, Ethan",Ethan Small
suareeu01,Eugenio Suarez,Eugenio,Suarez,12552,Eugenio Suarez,553993,Eugenio Suarez,1960254,Eugenio Suarez,suareeu01,32367,Eugenio Suarez,66110,Eugenio Suarez,"Suarez, Eugenio",Eugenio Suarez
perezeu02,Eury Perez,Eury,Perez,sa3014807,Eury Perez,691587,Eury Perez,26912478,Eury Perez,perezeu02,,Eury Perez,148223,Eury Perez,"Perez, Eury",Eury Perez
longoev01,Evan Longoria,Evan,Longoria,9368,Evan Longoria,446334,Evan Longoria,1114751,Evan Longoria,longoev01,28639,Evan Longoria,52448,Evan Longoria,"Longoria, Evan",Evan Longoria
marshev01,Evan Marshall,Evan,Marshall,12297,Evan Marshall,605359,Evan Marshall,1945243,Evan Marshall,marshev01,32100,Evan Marshall,69552,Evan Marshall,"Marshall, Evan",Evan Marshall
phillev01,Evan Phillips,Evan,Phillips,17734,Evan Phillips,623465,Evan Phillips,2779811,Evan Phillips,phillev01,,Evan Phillips,106667,Evan Phillips,"Phillips, Evan",Evan Phillips
reifeev01,Evan Reifert,Evan,Reifert,sa3014860,Evan Reifert,682126,Evan Reifert,29077503,Evan Reifert,reifeev01,,Evan Reifert,133897,Evan Reifert,"Reifert, Evan",Evan Reifert
whiteev01,Evan White,Evan,White,20078,Evan White,657108,Evan White,2835069,Evan White,whiteev01,40326,Evan White,111057,Evan White,"White, Evan",Evan White
duranez01,Ezequiel Duran,Ezequiel,Duran,23733,Ezequiel Duran,677649,Ezequiel Duran,3077704,Ezequiel Duran,duranez01,,Ezequiel Duran,111187,Ezequiel Duran,"Duran, Ezequiel",Ezequiel Duran
tovarez01,Ezequiel Tovar,Ezequiel,Tovar,24064,Ezequiel Tovar,678662,Ezequiel Tovar,26615356,Ezequiel Tovar,tovarez01,,Ezequiel Tovar,139025,Ezequiel Tovar,"Tovar, Ezequiel",Ezequiel Tovar
bautife01,Felix Bautista,Felix,Bautista,20666,Felix Bautista,642585,Felix Bautista,2821464,Felix Bautista,bautife01,,Felix Bautista,103091,Felix Bautista,"Bautista, Felix",Felix Bautista
tatisfe02,Fernando Tatis Jr.,Fernando,Tatis Jr.,19709,Fernando Tatis Jr.,665487,Fernando Tatis Jr.,2507363,Fernando Tatis,tatisfe02,35983,Fernando Tatis Jr.,108651,Fernando Tatis Jr.,"Tatis Jr., Fernando",Fernando Tatis Jr.
wallfo01,Forrest Wall,Forrest,Wall,sa828682,Forrest Wall,657088,Forrest Wall,2135267,Forrest Wall,wallfo01,33726,Forrest Wall,104942,Forrest Wall,"Wall, Forrest",Forrest Wall
whitlfo01,Forrest Whitley,Forrest,Whitley,sa917930,Forrest Whitley,666215,Forrest Whitley,2250602,Forrest Whitley,whitlfo01,40915,Forrest Whitley,109107,Forrest Whitley,"Whitley, Forrest",Forrest Whitley
grifffo01,Foster Griffin,Foster,Griffin,16432,Foster Griffin,656492,Foster Griffin,2135259,Foster Griffin,grifffo01,,Foster Griffin,104792,Foster Griffin,"Griffin, Foster",Foster Griffin
valdefr01,Framber Valdez,Framber,Valdez,17295,Framber Valdez,664285,Framber Valdez,2739968,Framber Valdez,valdefr01,36581,Framber Valdez,107058,Framber Valdez,"Valdez, Framber",Framber Valdez
cordefr02,Franchy Cordero,Franchy,Cordero,14567,Franchy Cordero,614173,Franchy Cordero,2119255,Franchy Cordero,cordefr02,33340,Franchy Cordero,100404,Franchy Cordero,"Cordero, Franchy",Franchy Cordero
alvarfr01,Francisco Alvarez,Francisco,Alvarez,26121,Francisco Alvarez,682626,Francisco Alvarez,3152036,Francisco Alvarez,alvarfr01,,Francisco Alvarez,111885,Francisco Alvarez,"Alvarez, Francisco",Francisco Alvarez
lindofr01,Francisco Lindor,Francisco,Lindor,12916,Francisco Lindor,596019,Francisco Lindor,1894627,Francisco Lindor,lindofr01,32129,Francisco Lindor,70399,Francisco Lindor,"Lindor, Francisco",Francisco Lindor
mejiafr01,Francisco Mejia,Francisco,Mejia,16403,Francisco Mejia,642336,Francisco Mejia,2117123,Francisco Mejia,mejiafr01,33248,Francisco Mejia,102864,Francisco Mejia,"Mejia, Francisco",Francisco Mejia
schwifr01,Frank Schwindel,Frank,Schwindel,15351,Frank Schwindel,643524,Frank Schwindel,2171873,Frank Schwindel,schwifr01,,Frank Schwindel,103500,Frank Schwindel,"Schwindel, Frank",Frank Schwindel
montafr02,Frankie Montas,Frankie,Montas,14309,Frankie Montas,593423,Frankie Montas,2117122,Frankie Montas,montafr02,33249,Frankie Montas,67243,Frankie Montas,"Montas, Frankie",Frankie Montas
barrefr01,Franklin Barreto,Franklin,Barreto,15519,Franklin Barreto,620439,Franklin Barreto,2117139,Franklin Barreto,barrefr02,33226,Franklin Barreto,102106,Franklin Barreto,"Barreto, Franklin",Franklin Barreto
germafr02,Franklin German,Franklin,German,24750,Franklin German,681464,Franklin German,2932762,Franklin German,germafr02,,,,Frank German,"German, Franklin",
perezfr01,Franklin Perez,Franklin,Perez,sa873722,Franklin Perez,658530,Franklin Perez,2507511,Franklin Perez,perezfr01,36187,Franklin Perez,106651,Franklin Perez,"Perez, Franklin",Franklin Perez
kilomfr01,Franklyn Kilome,Franklyn,Kilome,sa830592,Franklyn Kilome,642584,Franklyn Kilome,2167487,Franklyn Kilome,kilomfr01,33836,Franklyn Kilome,103945,Franklyn Kilome,"Kilome, Franklyn",Franklyn Kilome
reyesfr01,Franmil Reyes,Franmil,Reyes,14566,Franmil Reyes,614177,Franmil Reyes,2119258,Franmil Reyes,reyesfr01,33339,Franmil Reyes,100406,Franmil Reyes,"Reyes, Franmil",Franmil Reyes
freemfr01,Freddie Freeman,Freddie,Freeman,5361,Freddie Freeman,518692,Freddie Freeman,1630079,Freddie Freeman,freemfr01,30193,Freddie Freeman,56289,Freddie Freeman,"Freeman, Freddie",Freddie Freeman
peralfr01,Freddy Peralta,Freddy,Peralta,18679,Freddy Peralta,642547,Freddy Peralta,2900486,Freddy Peralta,peralfr01,39825,Freddy Peralta,103056,Freddy Peralta,"Peralta, Freddy",Freddy Peralta
tarnofr01,Freddy Tarnok,Freddy,Tarnok,23324,Freddy Tarnok,676206,Freddy Tarnok,2837588,Freddy Tarnok,tarnofr01,,Freddy Tarnok,111151,Freddy Tarnok,"Tarnok, Freddy",Freddy Tarnok
ariasga01,Gabriel Arias,Gabriel,Arias,22563,Gabriel Arias,672356,Gabriel Arias,2876077,Gabriel Arias,ariasga01,,Gabriel Arias,109355,Gabriel Arias,"Arias, Gabriel",Gabriel Arias
morenga01,Gabriel Moreno,Gabriel,Moreno,22664,Gabriel Moreno,672515,Gabriel Moreno,2829082,Gabriel Moreno,morenga01,,Gabriel Moreno,110402,Gabriel Moreno,"Moreno, Gabriel",Gabriel Moreno
ynoaga01,Gabriel Ynoa,Gabriel,Ynoa,12938,Gabriel Ynoa,593679,Gabriel Ynoa,2159740,Gabriel Ynoa,ynoaga01,33651,Gabriel Ynoa,67451,Gabriel Ynoa,"Ynoa, Gabriel",Gabriel Ynoa
cleavga01,Garrett Cleavinger,Garrett,Cleavinger,17897,Garrett Cleavinger,664076,Garrett Cleavinger,2733997,Garrett Cleavinger,cleavga01,,Garrett Cleavinger,105739,Garrett Cleavinger,"Cleavinger, Garrett",Garrett Cleavinger
